eFUA_ID,GC_POP_TOT_2025,GH_BUS_TOT_2020,GH_POP_TOT_2020,SC_SEC_GDP_2020,HZ_CON_TOT_2020,SC_SEC_SET_2020,SC_SEC_SYT_2020,EM_CO2_PEC_2020,EM_GHG_PEC_2020,EM_NOX_PEC_2020,EM_PM2_PEC_2020,EX_010_SHP_2020,EX_100_SHP_2020,EX_CF2_SHP_2020,EX_CF1_SHP_2020,IN_CIS_ALL_2020,GR_SHB_GRN_2020,HL_SHP_HOS_2025,IN_ROA_DEN_2024,total_area_km2,total_population,total_buildup_m2,total_gdp_ppp,n_urban_centers,area_distortion,pop_distortion,gdp_per_capita,buildup_per_capita,population_density,geom
16,1361833.134,58255289,1319696.018,180095617.5,2075,12.0689336627574,8.18048289191811,5.50270445409497,6.34774006133282,0.0084960705037226,0.0013775529702537,0,0,2.0041749700000002,2.026450575,0.04812898,0.034772808,53.84109098,0.019269675,273,1319696.018,58255289,180095617.5,1,0.40746268656716417,0.9638712254672119,136.46750088170685,44.14296035255598,4834.051347985348,"list(list(c(4744000, 4745000, 4745000, 4746000, 4746000, 4747000, 4747000, 4746000, 4746000, 4744000, 4744000, 4743000, 4743000, 4744000, 4744000, 4745000, 4745000, 4746000, 4746000, 4747000, 4747000, 4746000, 4746000, 4745000, 4745000, 4737000, 4737000, 4736000, 4736000, 4733000, 4733000, 4732000, 4732000, 4731000, 4731000, 4732000, 4732000, 4733000, 4733000, 4734000, 4734000, 4735000, 4735000, 4734000, 4734000, 4732000, 4732000, 4731000, 4731000, 4728000, 4728000, 4727000, 4727000, 4728000, 4728000, 
4729000, 4729000, 4730000, 4730000, 4734000, 4734000, 4738000, 4738000, 4740000, 4740000, 4739000, 4739000, 4741000, 4741000, 4744000, 4744000, 3206000, 3206000, 3205000, 3205000, 3204000, 3204000, 3199000, 3199000, 3200000, 3200000, 3201000, 3201000, 3199000, 3199000, 3198000, 3198000, 3195000, 3195000, 3192000, 3192000, 3188000, 3188000, 3187000, 3187000, 3186000, 3186000, 3185000, 3185000, 3183000, 3183000, 3184000, 3184000, 3185000, 3185000, 3187000, 3187000, 3188000, 3188000, 3190000, 3190000, 
3191000, 3191000, 3194000, 3194000, 3195000, 3195000, 3194000, 3194000, 3195000, 3195000, 3196000, 3196000, 3198000, 3198000, 3199000, 3199000, 3200000, 3200000, 3201000, 3201000, 3202000, 3202000, 3203000, 3203000, 3204000, 3204000, 3206000, 3206000, 3207000, 3207000, 3206000), c(4743000, 4742000, 4742000, 4743000, 4743000, 3195000, 3195000, 3194000, 3194000, 3195000)))"
17,261235.2051,18066273,252204.8557,47487633.85,33,10.7431860009753,10.5291384932421,0.71571919907607,1.26349780407221,0.0049547552143977,8.745853367168e-4,0,0,0.272839663,0.686368024,0.078518709,0.052191174,21.20695548,0.012025376,110,252204.8557,18066273,47487633.85,1,0.5365853658536586,1.013117547230825,188.28992692546325,71.63332739909654,2292.771415454545,"list(list(c(-7293000, -7286000, -7286000, -7287000, -7287000, -7286000, -7286000, -7285000, -7285000, -7284000, -7284000, -7285000, -7285000, -7290000, -7290000, -7293000, -7293000, -7296000, -7296000, -7299000, -7299000, -7298000, -7298000, -7297000, -7297000, -7296000, -7296000, -7295000, -7295000, -7294000, -7294000, -7293000, -7293000, 3064000, 3064000, 3062000, 3062000, 3061000, 3061000, 3060000, 3060000, 3059000, 3059000, 3056000, 3056000, 3055000, 3055000, 3054000, 3054000, 3053000, 3053000, 
3054000, 3054000, 3055000, 3055000, 3057000, 3057000, 3058000, 3058000, 3060000, 3060000, 3063000, 3063000, 3065000, 3065000, 3064000)))"
18,90139.76976,6045683,100033.9904,28299241.78,56,13.984,10.314,0.272333451368746,0.391050355519957,0.001090696337522,0.0014677849759155,7.8013049059999995,11.97404378,0,0,0.054388171,0.04565241,36.48240156,0.020302834,28,100033.9904,6045683,28299241.78,1,0.13333333333333333,0.4845496616144593,282.896260229563,60.43628746414579,3572.6425142857142,"list(list(c(1394000, 1395000, 1395000, 1396000, 1396000, 1390000, 1390000, 1389000, 1389000, 1391000, 1391000, 1392000, 1392000, 1393000, 1393000, 1394000, 1394000, 5316000, 5316000, 5315000, 5315000, 5314000, 5314000, 5315000, 5315000, 5317000, 5317000, 5318000, 5318000, 5321000, 5321000, 5323000, 5323000, 5316000)))"
19,395329.5396,12356835,393349.1469,86426097.75,193,14.606000000000002,12.045999999999998,0.35862779027854996,1.42504363282756,0.0010275770660607,4.513427375428e-4,0.189987958,0.236278543,0,0,0.19777479,0.043368711,57.58305805,0.032588321,55,393349.1469,12356835,86426097.75,1,0.25943396226415094,1.0691386863157324,219.7185336008161,31.414419218612014,7151.802670909091,"list(list(c(1722000, 1723000, 1723000, 1724000, 1724000, 1725000, 1725000, 1724000, 1724000, 1718000, 1718000, 1717000, 1717000, 1718000, 1718000, 1719000, 1719000, 1722000, 1722000, 6257000, 6257000, 6256000, 6256000, 6255000, 6255000, 6251000, 6251000, 6249000, 6249000, 6251000, 6251000, 6252000, 6252000, 6257000, 6257000, 6258000, 6258000, 6257000)))"
20,76330.51281,3913176,73575.34972,23955549.44,294,8.67806695090693,6.47645091918536,0.0266813313816485,0.0985438227043741,5.191289838424e-4,2.3957964441999996e-4,37.35541166,65.85805477,1.651423444,1.754042297,0.008254144,0.044874036,35.42321485,0.011787278,27,73575.34972,3913176,23955549.44,1,0.8709677419354839,0.9768931003112595,325.59205673049166,53.185965338827074,2725.0129525925927,"list(list(c(-8583000, -8582000, -8582000, -8584000, -8584000, -8585000, -8585000, -8586000, -8586000, -8587000, -8587000, -8588000, -8588000, -8587000, -8587000, -8586000, -8586000, -8585000, -8585000, -8584000, -8584000, -8583000, -8583000, 2151000, 2151000, 2149000, 2149000, 2148000, 2148000, 2147000, 2147000, 2148000, 2148000, 2152000, 2152000, 2153000, 2153000, 2154000, 2154000, 2153000, 2153000, 2154000, 2154000, 2155000, 2155000, 2151000)))"
22,63746.10474,2735561,58410.06289,28227528.43,32,15.122,7.236,0.0959320506490555,0.117542376576954,7.710237857783e-4,1.545838262493e-4,7.329519018,14.694118709999998,0,0,0.033815642,0.047047023,40.06466596,0.012582080000000002,13,58410.06289,2735561,28227528.43,1,0.24074074074074073,0.8831613557390605,483.2648183098027,46.83372803675473,4493.081760769231,"list(list(c(-7243000, -7241000, -7241000, -7242000, -7242000, -7245000, -7245000, -7246000, -7246000, -7245000, -7245000, -7243000, -7243000, -941000, -941000, -942000, -942000, -944000, -944000, -942000, -942000, -941000, -941000, -940000, -940000, -941000)))"
23,152912.0999,17182199,152414.4836,26788846.49,13,12.2100842960554,7.808767463816049,0.295975347135578,0.537799034080774,0.0025138134237329,3.803999410591e-4,0,0,0.119893409,0.141163256,0.022036265,0.039453623,20.55325417,0.013593269,82,152414.4836,17182199,26788846.49,1,0.3346938775510204,0.6945361873118835,175.76312865583856,112.7333741135347,1858.7132146341464,"list(list(c(-5876000, -5875000, -5875000, -5876000, -5876000, -5877000, -5877000, -5876000, -5876000, -5874000, -5874000, -5873000, -5873000, -5869000, -5869000, -5868000, -5868000, -5867000, -5867000, -5869000, -5869000, -5872000, -5872000, -5875000, -5875000, -5876000, -5876000, -5879000, -5879000, -5880000, -5880000, -5881000, -5881000, -5880000, -5880000, -5881000, -5881000, -5880000, -5880000, -5876000, -5876000, 1621000, 1621000, 1620000, 1620000, 1619000, 1619000, 1617000, 1617000, 1616000, 
1616000, 1613000, 1613000, 1612000, 1612000, 1610000, 1610000, 1609000, 1609000, 1608000, 1608000, 1607000, 1607000, 1609000, 1609000, 1610000, 1610000, 1611000, 1611000, 1613000, 1613000, 1614000, 1614000, 1616000, 1616000, 1619000, 1619000, 1620000, 1620000, 1622000, 1622000, 1621000)))"
24,146320.09682,11229006,139601.52097999997,261339108.8,1,27.904,18.36,12.67062017079176,13.52356310158531,0.020675380564596498,0.0011899142532446002,6.777552721,8.927454198,0,0,0.088332453,0.115081233,16.72783511,0.027911751000000002,67,139601.52097999997,11229006,261339108.8,2,0.5775862068965517,1.1343693467027027,1872.0362569505298,80.43612935713448,2083.6047907462685,"list(list(c(11489000, 11490000, 11490000, 11492000, 11492000, 11493000, 11493000, 11494000, 11494000, 11495000, 11495000, 11494000, 11494000, 11492000, 11492000, 11491000, 11491000, 11489000, 11489000, 11487000, 11487000, 11488000, 11488000, 11489000, 11489000, 609000, 609000, 608000, 608000, 607000, 607000, 606000, 606000, 604000, 604000, 603000, 603000, 601000, 601000, 602000, 602000, 603000, 603000, 604000, 604000, 606000, 606000, 610000, 610000, 609000)))"
24,146320.09682,11229006,139601.52097999997,261339108.8,1,27.904,18.36,12.67062017079176,13.52356310158531,0.020675380564596498,0.0011899142532446002,6.777552721,8.927454198,0,0,0.088332453,0.115081233,16.72783511,0.027911751000000002,67,139601.52097999997,11229006,261339108.8,2,0.5775862068965517,1.1343693467027027,1872.0362569505298,80.43612935713448,2083.6047907462685,"list(list(c(11496000, 11497000, 11497000, 11496000, 11496000, 11493000, 11493000, 11492000, 11492000, 11493000, 11493000, 11496000, 11496000, 616000, 616000, 612000, 612000, 609000, 609000, 608000, 608000, 610000, 610000, 617000, 617000, 616000)))"
28,250759.7761,20344535,239657.7465,64362327.99,76,13.146550435829102,11.0925731602342,2.8271566842816394,3.0252956801085404,0.0064048377485432005,0.0013433501702729,0,0,0.106146421,0.109778909,0,0.046749655,13.18433382,0.014884221000000001,112,239657.7465,20344535,64362327.99,1,0.21414913957934992,0.6757951518841191,268.5593473607998,84.88995368234424,2139.8013080357146,"list(list(c(-9561000, -9562000, -9562000, -9565000, -9565000, -9566000, -9566000, -9568000, -9568000, -9569000, -9569000, -9570000, -9570000, -9572000, -9572000, -9573000, -9573000, -9577000, -9577000, -9579000, -9579000, -9580000, -9580000, -9579000, -9579000, -9578000, -9578000, -9577000, -9577000, -9573000, -9573000, -9571000, -9571000, -9569000, -9569000, -9568000, -9568000, -9564000, -9564000, -9562000, -9562000, -9561000, -9561000, 5713000, 5713000, 5710000, 5710000, 5709000, 5709000, 5708000, 
5708000, 5707000, 5707000, 5706000, 5706000, 5705000, 5705000, 5704000, 5704000, 5705000, 5705000, 5706000, 5706000, 5707000, 5707000, 5708000, 5708000, 5709000, 5709000, 5710000, 5710000, 5712000, 5712000, 5713000, 5713000, 5714000, 5714000, 5715000, 5715000, 5714000, 5714000, 5715000, 5715000, 5716000, 5716000, 5713000)))"
