eFUA_ID,B00,B15,P00,P15,GDP00_SM,GDP15_SM,E_EPM2_E00,E_EPM2_E15,E_EPM2_R00,E_EPM2_R15,E_EPM2_I00,E_EPM2_I15,E_EPM2_T00,E_EPM2_T15,E_EPM2_A00,E_EPM2_A15,EX_FD_B00,EX_FD_B15,EX_FD_P00,EX_FD_P15,EX_SS_B00,EX_SS_B15,EX_SS_P15,BUCAP15,NTL_AV,E_GR_AT00,E_GR_AT14,E_CPM2_T00,E_CPM2_T14,EX_SS_P00,TT2CC,SDG_LUE9015,SDG_OS15MX,total_area,total_population,n_urban_centers,area_distortion,pop_distortion,geom,buildup_growth_rate,pop_growth_rate,gdp_growth_rate,gdp_per_cap_00,gdp_per_cap_15,gdp_per_cap_growth_rate,green_change_pct,pm25_change_pct,flood_buildup_change_pct,flood_pop_change_pct,sealevel_buildup_change_pct,sealevel_pop_change_pct,energy_emissions_growth,residential_emissions_growth,industrial_emissions_growth,transport_emissions_growth,agriculture_emissions_growth
1,11.2108163834,12.8935127258,411979.968979,844574.564331,38749116,149267200,0.161334580143332,3.42390378649241,5.99997063206855,6.14406864270846,10.4876904011637,22.0737353539682,0.635076539346586,18.9214118457567,1.3760997848584,3.14363399433776,0.0207460001111,0.0232420004904,1860.22473145,3561.53515625,0,0,0,15.2662811199,70.90309712089554,643.7219047524399,643.7219047524399,365.656477041052,406.16399202995854,0,647.78760593709,0.30559,78.52,12.8935127258,844574.564331,1,0.4316546762589928,0.9502294607897629,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.009366610324280877,0.04902086523780946,0.09407435703042943,94.05582532575795,176.73655625449337,0.04294813695855959,0,11.078024739695437,12.031236700729274,91.45725223607096,NA,NA,2022.2380121177764,2.4016452658907546,110.4727972473227,2879.390777877649,128.44520643982503
2,5.59559202194,5.72133827209,97734.1943512,268654.459595,215296768,1035563520,0,0,15.6524491181542,21.9141134393356,7.40742807848037,18.3791129854595,0.102280003293355,0.787308861927522,4.25776524306775e-4,0.00101630432085962,0.428744971752,0.454057008028,7468.70031738,21235.0682373,0,0,0,21.2962713544,202.9934703154239,216.22584370556507,216.22584370556507,128.0033246019682,107.1676539370254,0,500.3723981764285,0.15538,100,5.72133827209,268654.459595,1,0.46153846153846156,0.9776149131778851,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.0014826709268389582,0.0697357282865394,0.11039104037392788,2202.8806747651524,3854.6299270859863,0.03800500536007001,0,-16.277444925537825,5.903751167638483,184.32079659007132,NA,NA,NA,40.00437422868813,148.11733290875185,669.7583462814305,138.6943062476985
3,9.53683853149,10.0613355637,87023.1889648,83366.7860107,154159776,289798528,0.150865497586543,0,6.75822442828491,8.66503667880191,4.94074738757168,3.93091033695243,1.5719143048928,2.00542219586603,0.311219716731156,0.320811325878205,1.92510509491,2.16618800163,19924.2088623,19847.8721924,0,0,0,120.687578892,178.29403534259146,160.802146077934,160.802146077934,154.2830681048424,167.8707453207016,0,86.28269326426579,3.4702,100,10.0613355637,83366.7860107,1,0.24691358024691357,0.7698569252347431,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.003575568880434421,-0.002857552216026682,0.04297766190212582,1771.4792784984709,3476.186882900881,0.045966565980633645,0,8.806978875106195,12.523103666258336,-0.3831352623714232,NA,NA,-100,28.21469264229372,-20.438953287906774,27.578341238060933,3.0819413524929717
4,5.2948050499,6.22950696945,22013.0530167,52434.6617737,67324056,237359792,0,0,0.0951828794922036,0.227684665192058,2.61864826163429,8.78804511072791,0.721519232426738,0.292287400664632,0.00338877899816548,0.00575290205137557,0,0,0,0,0,0,0,118.805133069,697.4560805770478,157.96394655951082,157.96394655951082,765.5625274019174,985.4081197925001,0,81.28160936151558,0.53523,100,6.22950696945,52434.6617737,1,0.19718309859154928,0.8120389110912375,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.010897013351954143,0.059568924809354495,0.08763320681803011,3058.3697749205994,4526.772634186307,0.02648650913740691,0,28.716869559521253,NA,NA,NA,NA,NA,139.20758271523775,235.59471271805398,-59.490005598109896,69.76327032509089
6,12.7392759323,12.9442472458,137929.572021,105160.779419,229760096,563441728,0,0,0.69621155947651,10.4343796961078,0.174007233998797,0.232266512010198,0.585051325204147,0.732588601848073,0.441302569579732,0.768898000975363,0,0,0,0,0,0,0,123.090065681,17.779376623686897,148.4099699218834,148.4099699218834,148.70274365506666,194.57700800772508,0,64.01772081997316,-0.24185,50.23,12.9442472458,105160.779419,1,0.35135135135135137,0.8744833168516932,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.0010646761653021475,-0.017920994019749004,0.06162619729071617,1665.778357994315,5357.907492821414,0.08099876977928666,0,30.84964219562023,NA,NA,NA,NA,NA,1398.7369218565602,33.480951723997734,25.21783479294649,74.23374663501544
7,33.8268241882,38.0920333862,49970.1247253,62493.3381958,1310868352,2240791808,0,0,22.0316898541608,7.96577410041165,24.0391805613718,18.665196628706,25.3116279012069,37.1195084440379,0.048050534953195,0.0558440064240868,11.2005167007,12.3635120392,14700.2944794,18264.1216965,14.5997562408,16.8607997894,26682.5446625,609.537504092,55.97466444378237,564.5676431191839,564.5676431191839,50.653955551215724,46.12508676516403,162404.42150946925,2347.6459366704335,0.90765,48.53,38.0920333862,62493.3381958,1,0.2542955326460481,0.6636231713811092,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.00794815755984346,0.015020669225966676,0.03638908067113111,26233.041426376592,35856.490830739414,0.021052193411449815,0,-8.940799858112957,10.383407922844453,24.243236909941537,15.486858213984172,-83.57030897650515,NA,-63.844016718003715,-22.35510448846653,46.65002420594204,16.219323007502943
8,16.47955513,16.777715683,105826.931396,113300.718506,1804333440,2279119104,0,0,19.4071020488259,9.37713173656317,15.804388225556,18.0513415641461,7.02739823271883,3.01228742267962,0.152704726762413,0.140757046674405,15.6322011948,15.850820541400001,100389.942261,107057.062134,0,0,0,148.08128231,482.2581516642571,568.632269395836,568.632269395836,294.7169837315928,303.88575514878096,0,287.92153609355756,0.58524,53.76,16.777715683,113300.718506,1,0.07670454545454546,0.4631886472544822,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.0011961167030341002,0.004559728907515881,0.01569507878986598,17049.85126374173,20115.66329016092,0.011084806171216766,0,3.1110427709651205,1.3985192736178678,6.641222938117059,NA,NA,NA,-51.68195790916413,14.217275015787912,-57.13509718782229,-7.824040775500622
9,8.3858833313,8.66277217865,97830.4501953,123266.36377,175933104,878315008,0.0718940113077691,0.0238311229659186,0.206321828894886,0.612507831857391,0.232121489598607,0.360150562922973,0.410620485988554,0.395547524476605,0.379824633203728,0.665302346773168,0,0,0,0,0,0,0,70.2768534233,185.6593406239895,136.73468159618525,136.73468159618525,178.27396220878913,239.84151460436837,0,444.0490462083596,0.25359,58.76,8.66277217865,123266.36377,1,0.375,0.9151109786778713,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.002168016625019753,0.015526752832592416,0.11314955213714883,1798.3470754635475,7125.342073356108,0.09613020930493343,0,34.535358743792976,NA,NA,NA,NA,-66.8524227088949,196.87010586235303,55.15606226108515,-3.6707767942121468,75.16039998814854
10,0.749799966812,0.961494922638,28550.2368774,63042.8637695,1521060.25,2568251.75,0.017449063767733,0.0460529963854466,13.8400213436764,10.2082705040364,2.79987925854223,3.9534304400587,0.0188926226257232,0.0220701547411658,1.54402323817873,1.63041097868024,0,0,0,0,0,0,0,15.2514474303,0.18352364326778203,38.264236756507195,38.264236756507195,161.44447187938286,166.23987941762522,0,51.62826702104715,0.59511,NA,0.961494922638,63042.8637695,1,1,0.9999999999995043,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.016717046800923008,0.0542292971697349,0.035538090678870926,53.27662451739767,40.738183458640954,-0.017729735401059044,0,2.9703138685510804,NA,NA,NA,NA,163.92817974915252,-26.240933806791926,41.20003310846596,16.81890428021486,5.5949767053642105
11,17.1295585632,17.7383670807,70076.8765869,73742.5316162,993184192,1193641472,7.01582901132142e-5,3.68106195783679e-5,5.4417026686697,4.44181583139563,15.0707255950238,17.4250693674586,15.8349851972192,6.21776466374292,0.365954581811866,0.325043754054084,0,0,0,0,0,0,0,240.544590644,711.0918425357243,732.6362997516992,732.6362997516992,368.88902626891496,325.97172409918466,0,66.88649930979462,2.7691,46.24,17.7383670807,73742.5316162,1,0.08375634517766498,0.4117209829483958,"list(c(5529000, 5531000, 5531000, 5532000, 5532000, 5534000, 5534000, 5537000, 5537000, 5545000, 5545000, 5544000, 5544000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5538000, 5538000, 5537000, 5537000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5532000, 5532000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5527000, 5527000, 5526000, 5526000, 5525000, 5525000, 5529000, 5529000, 4155000, 4155000, 4154000, 4154000, 
4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4148000, 4148000, 4145000, 4145000, 4144000, 4144000, 4142000, 4142000, 4141000, 4141000, 4140000, 4140000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4148000, 4148000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4155000, 4155000, 4156000, 4156000, 4155000))",0.0023310047862565852,0.0034049067361208163,0.012331941439713168,14172.780528658199,16186.608268514843,0.008896742126396573,0,-11.634204086744557,NA,NA,NA,NA,-47.532045722655546,-18.374521692095808,15.621966955673194,-60.734003939360626,-11.179209057919087
