Id,Main_city_center,oefua_id
4593,1,IDN04593
6666,1,IDN06666
2706,1,IDN02706
4894,0,IDN04897
4897,1,IDN04897
4898,0,IDN04897
4899,0,IDN04897
4900,0,IDN04897
273,1,LAO00273
3702,0,BGD03705
3703,0,BGD03705
3705,1,BGD03705
3707,0,BGD03705
1749,1,BGD01749
4833,1,BGD04833
3529,1,BGD03529
976,1,KHM00976
9030,1,CHN09030
9871,1,CHN09871
105,0,CHN09871
280,0,CHN09871
8717,1,CHN08717
8809,1,CHN08809
9715,1,CHN09715
10153,1,CHN10153
9947,1,CHN09947
10331,1,CHN10331
9657,1,CHN09657
9511,1,CHN09511
7492,1,CHN07492
9631,1,CHN09631
7076,1,CHN07076
9839,1,CHN09839
9401,1,CHN09401
9471,1,CHN09471
10353,1,CHN10353
10262,1,CHN10262
8891,1,CHN08891
10286,1,CHN10286
9718,1,CHN09718
9719,0,CHN09718
9711,1,CHN09711A
9716,0,CHN09711A
9721,0,CHN09725
9724,0,CHN09725
9725,1,CHN09725
3596,1,MMR03596
4435,1,MMR04435
1872,1,MMR01872
2319,0,MMR01872
4692,1,PAK04692
2034,1,PAK02034
154,1,SGP00154
434,1,LKA00434
1141,1,TAI01141
770,1,TAI00770
1897,1,TAI01897
1815,1,TAI01815
491,1,TAI00491
1894,1,THA01894
4545,1,VNM04545
3569,1,VNM03569
2207,1,VNM02207
5080,1,VNM05080
5038,1,VNM05038
6794,1,IDN06794
6878,1,IDN06878
4985,1,PHL04985
4101,1,PHL04101
4750,1,PHL04750
4372,1,PHL04372
1797,1,PHL01797
604,1,PHL00604
4910,1,PHL04910
2845,1,PHL02845
3119,0,PHL02845
3997,0,PHL04067
4067,1,PHL04067
375,1,CANB_1
525,0,CANB_1
1572,1,CANA_2
1837,1,CANC_1
1276,1,CANA_1
3343,1,CANH_2
3485,1,CANI_1
3531,0,CANI_1
3618,0,CANI_1
3789,1,CANI_2
2626,1,CANH_1
5538,0,MEX03C
5554,1,MEX03C
5651,0,MEX03C
5683,0,MEX03C
6031,1,MEX35C
5969,1,MEX25C
5993,0,MEX25C
440,1,MEX06C
1211,1,MEX13C
1786,1,MEX20C
3808,1,MEX18C
4798,1,MEX10C
6451,1,USM01
7123,1,USM02
5913,1,USM87
7256,1,USM105
4211,1,USM15
6917,1,USM72
6630,1,USM38
5865,1,USM42
4510,1,USM22
7183,1,USM78
6678,1,USM88
4576,1,USM34
3522,1,USM69
5705,1,USM43
7302,1,USM54
7244,1,USM13
6685,1,USM62
4143,1,USM30
7032,1,USM45
6350,1,USM41
6368,0,USM41
6972,0,USM26
6990,1,USM26
4728,0,USM104
4756,1,USM104
5229,1,USM48
6487,1,USM27
5985,1,USM81
6442,1,USM11
5543,1,USM06
7317,1,USM80
7327,0,USM80
6833,1,USM100
